System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:39:436, 160890668459557,    0.109,   42.000, 3500,  47.914,   5.206,   1.446,  29.794,   3.237,   0.899, 95,  0,   3.224,   0.350,   0.097,   6.079,   0.660,   0.183,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:39:560, 160890942935799,    0.233,   31.000, 3600,  48.998,  11.296,   3.138,  30.670,   7.050,   1.958, 92,  0,   2.821,   0.701,   0.195,   5.932,   1.398,   0.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:39:667, 160891178045845,    0.339,   29.000, 3700,  44.227,  16.006,   4.446,  26.892,   9.913,   2.754, 92,  0,   2.763,   0.995,   0.276,   5.305,   1.963,   0.545,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:39:774, 160891416072234,    0.447,   25.000, 3600,  46.447,  21.013,   5.837,  29.039,  13.043,   3.623, 98,  0,   2.910,   1.309,   0.364,   5.122,   2.515,   0.699,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:39:913, 160891723547008,    0.586,   40.000, 2600,  44.598,  27.223,   7.562,  27.120,  16.820,   4.672, 93,  0,   3.140,   1.746,   0.485,   5.321,   3.256,   0.904,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:40:052, 160892027984775,    0.724,   38.000, 2900,  36.532,  32.260,   8.961,  18.451,  19.364,   5.379, 91,  0,   2.956,   2.154,   0.598,   5.914,   4.071,   1.131,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:40:205, 160892368477727,    0.879,   41.000, 3100,  40.439,  38.496,  10.693,  22.367,  22.813,   6.337, 92,  0,   2.895,   2.600,   0.722,   5.937,   4.987,   1.385,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:40:393, 160892782458915,    1.066,   45.000, 3200,  42.846,  46.529,  12.925,  24.734,  27.451,   7.625, 91,  0,   2.866,   3.137,   0.871,   5.900,   6.093,   1.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:40:518, 160893058594173,    1.191,   34.000, 3300,  41.101,  51.670,  14.353,  23.012,  30.328,   8.425, 89,  0,   2.934,   3.504,   0.973,   5.928,   6.834,   1.898,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:40:520, 160893063469555,    1.193,   30.000, 3300,  38.423,  51.754,  14.376,  23.219,  30.380,   8.439, 90,  0,   2.543,   3.510,   0.975,   6.662,   6.849,   1.902,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.193336
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 51.754395
Cumulative Processor Energy_0 (mWh) = 14.376221
Average Processor Power_0 (Watt) = 43.369514

Cumulative IA Energy_0 (Joules) = 30.379700
Cumulative IA Energy_0 (mWh) = 8.438805
Average IA Power_0 (Watt) = 25.457796

Cumulative DRAM Energy_0 (Joules) = 3.509949
Cumulative DRAM Energy_0 (mWh) = 0.974986
Average DRAM Power_0 (Watt) = 2.941292

Cumulative GT Energy_0 (Joules) = 6.848938
Cumulative GT Energy_0 (mWh) = 1.902483
Average GT Power_0 (Watt) = 5.739322
